entryId,access
9,3
28,5
30,1
37,4
44,1
67,3
69,2
74,1
76,44
79,1
81,1
85,3
87,1
99,1
108,13
112,1
115,11
117,1
125,4
130,1
132,1
138,9
141,3
148,4
150,1
157,5
163,1
172,2
175,4
187,1
190,1
191,4
199,4
208,1
236,1
238,2
240,1
250,2
255,1
256,3
259,2
261,7
265,3
268,12
271,3
274,1
276,9
281,4
286,1
287,1
290,5
294,2
301,2
302,5
306,2
309,2
313,6
316,6
318,5
319,2
327,16
331,2
339,11
341,6
350,6
352,6
353,10
366,1
369,2
371,30
375,6
376,23
377,76
383,1
385,1
386,1
391,1
394,2
396,1
400,5
403,3
405,1
408,13
413,1
414,1
417,14
418,1
430,1
431,1
441,3
443,56
444,3
445,3
446,2
447,1
448,8
449,1
450,4
456,1
458,1
460,2
461,22
464,1
465,1
467,26
472,1
480,1
483,2
489,1
492,10
494,5
504,1
505,6
506,1
510,1
516,1
517,5
518,1
525,5
526,1
530,1
540,20
544,5
545,1
555,4
556,3
557,3
560,4
580,1
586,1
600,5
601,4
604,1
613,1
614,1
620,1
623,1
626,19
628,1
629,2
632,17
638,2
642,1
645,4
646,1
647,1
648,6
653,3
656,21
658,1
659,5
661,2
662,6
667,11
679,1
685,1
690,2
695,17
696,4
700,1
701,2
711,1
712,1
716,1
720,1
723,2
725,1
727,4
730,4
731,2
734,11
737,8
739,43
745,44
746,117
747,1
748,2
749,3
751,5
752,8
753,2
755,5
756,3
757,60
758,8
760,1
761,13
762,2
763,77
764,5
766,1
767,2
768,1
770,57
771,1
772,5
774,1
775,5
776,3
778,4
780,1
782,8
783,2
784,1
785,2
787,22
788,1
789,3
790,94
791,1
792,7
793,5
794,10
795,8
796,4
797,1
798,1
799,1
800,4
801,5
802,17
803,5
804,4
805,10
806,3
807,13
808,2
809,3
810,3
811,2
812,6
813,6
